Team Name,Player ID,Player Name,Position,Jersey
Kenya Police,786,Tobias Otieno,Midfielder,23
Kenya Police,867,Awesu Ally Awesu,Midfielder,10
Kenya Police,868,David Owino Ambulu,Midfielder,26
Kenya Police,897,Nana Kusi Asante,Midfielder,40
Kenya Police,922,Samuel Boamah Quansah,Midfielder,30
Kenya Police,200,David Okoth,Forward,9
Kenya Police,854,Yves Koutiama,Forward,14
AFC Leopards,225,James Ssetuba,Goalkeeper,28
AFC Leopards,459,Humphrey Katasi,Goalkeeper,22
AFC Leopards,733,Samuel Ambale Kusindi,Goalkeeper,1
AFC Leopards,215,Fredrick Alushula,Defender,3
AFC Leopards,226,Samuel Semo,Defender,17
AFC Leopards,454,Vincent Mahiga,Defender,29
AFC Leopards,456,Randi Bakari,Defender,4
AFC Leopards,469,Emanuel Lwangu,Defender,2
AFC Leopards,519,Kennedy Ochieng Owino,Defender,27
AFC Leopards,737,Brian Ojok Nyongesa,Defender,36
AFC Leopards,756,Rami Lasso Coulibaly,Defender,19
AFC Leopards,121,James Kinyanjui,Midfielder,26
AFC Leopards,217,Kayci Odhiambo,Midfielder,12
AFC Leopards,219,Musa Oundo,Midfielder,6
AFC Leopards,220,Victor Otieno,Midfielder,50
AFC Leopards,221,Boniface Kweyu Munyendo,Midfielder,18
AFC Leopards,224,Ronald Sichenje,Midfielder,30
AFC Leopards,228,Brian Wanyama,Midfielder,8
AFC Leopards,230,Julius Masaba,Midfielder,77
AFC Leopards,232,Kelly Okonji Madada,Midfielder,88
AFC Leopards,233,Victor Omune,Midfielder,33
AFC Leopards,486,Tyson Otieno,Midfielder,7
AFC Leopards,518,Beja Hassan,Midfielder,10
AFC Leopards,732,Jamal Obeid Abubakar,Midfielder,0
AFC Leopards,904,Dennis Kikwae,Midfielder,0
AFC Leopards,222,Maxwell Otieno,Forward,21
AFC Leopards,581,Christopher Koloti,Forward,39
AFC Leopards,719,Elias Mugane Muriuki,Forward,16
AFC Leopards,757,Samuel Ssenyonjo,Forward,14
AFC Leopards,810,Andrew Waswa Waliaulah,Forward,3
Mara Sugar,246,Felix Adoyo,Goalkeeper,30
Mara Sugar,452,Samuel Guto Mogaka,Goalkeeper,16
Mara Sugar,647,Samuel Oluoch,Goalkeeper,0
Mara Sugar,866,Kaunda Junior,Goalkeeper,28
Mara Sugar,884,Joseph Ogenda,Goalkeeper,1
Mara Sugar,137,Lameck Luhangala,Defender,34
Mara Sugar,238,Drona  Openda Langa,Defender,18
Mara Sugar,239,Joseph Okwenda,Defender,12
Mara Sugar,247,Vincent Mulama,Defender,26
Mara Sugar,248,Lameck Omondi,Defender,24
Mara Sugar,748,Robinson Musungu,Defender,5
Mara Sugar,801,Jimmy Owili,Defender,32
Mara Sugar,865,Tony Oloo,Defender,21
Mara Sugar,869,Nassor Shikokoti,Defender,13
Mara Sugar,898,Biron Billy Owuor,Defender,0
Mara Sugar,240,Harun Thomas,Midfielder,25
Mara Sugar,250,David Owino,Midfielder,28
Mara Sugar,253,Lankas Lenana,Midfielder,14
Mara Sugar,254,Brian Ochieng,Midfielder,10
Mara Sugar,256,Collin Weru,Midfielder,0
Mara Sugar,259,Felix Opiyo Casillas,Midfielder,38
Mara Sugar,411,Cliff Nyakeya,Midfielder,7
Mara Sugar,577,Cyrus Okoth,Midfielder,29
Mara Sugar,659,Alex Imbusia,Midfielder,28
Mara Sugar,802,Kevin Mwavali,Midfielder,6
Mara Sugar,804,Silas Oningo Wafula,Midfielder,8
Mara Sugar,825,Tony Omondi Opondo,Midfielder,22
Mara Sugar,864,Ibrahim Ochieng,Midfielder,29
Mara Sugar,870,Ainea Ndete,Midfielder,2
Mara Sugar,885,Mwalago Makame,Midfielder,17
Mara Sugar,893,Kelvin Longbert Raphel,Midfielder,19
